Timepoint (1min, 128Hz)	1 - F7	2 - F3	3 - F4	4 - F8	5 - T3	6 - C3	7 - Cz	8 - C4	9 - T4	10 - T5	11 - P3	12 - Pz	13 - P4	14 - T6	15 - O1	16 - O2
43	342.55	393.93	291.17	188.4	308.3	548.08	308.3	205.53	85.64	119.89	119.89	51.38	-376.81	-616.59	17.13	-462.44
44	256.91	291.17	274.04	154.15	205.53	393.93	188.4	154.15	102.77	34.26	34.26	17.13	-393.93	-616.59	34.26	-376.81
45	154.15	274.04	188.4	68.51	119.89	188.4	85.64	68.51	34.26	85.64	119.89	-17.13	-342.55	-496.7	137.02	-188.4
46	119.89	256.91	119.89	-17.13	85.64	154.15	68.51	34.26	0	119.89	171.28	-102.77	-376.81	-445.32	171.28	-171.28
47	34.26	137.02	0	-51.38	34.26	171.28	0	0	0	85.64	119.89	-205.53	-393.93	-393.93	17.13	-291.17
48	0	34.26	-17.13	-34.26	-17.13	205.53	-17.13	-34.26	68.51	17.13	68.51	-188.4	-376.81	-256.91	-34.26	-291.17
49	0	-17.13	34.26	137.02	0	376.81	256.91	205.53	393.93	85.64	119.89	102.77	68.51	239.79	-256.91	-34.26
50	0	0	68.51	154.15	0	411.06	376.81	291.17	393.93	188.4	188.4	188.4	239.79	393.93	-205.53	85.64
51	-34.26	-34.26	68.51	119.89	-102.77	428.19	496.7	496.7	376.81	308.3	188.4	171.28	445.32	599.46	0	274.04
52	-205.53	-51.38	34.26	119.89	-205.53	308.3	411.06	496.7	342.55	274.04	154.15	85.64	462.44	633.72	51.38	325.42
53	-376.81	-342.55	0	119.89	-359.68	17.13	51.38	359.68	359.68	205.53	119.89	0	428.19	582.34	205.53	325.42
54	-393.93	-411.06	-17.13	85.64	-359.68	-119.89	-85.64	256.91	342.55	188.4	119.89	17.13	325.42	445.32	325.42	274.04
55	-291.17	-479.57	-68.51	17.13	-222.66	-274.04	-171.28	85.64	274.04	256.91	205.53	154.15	188.4	171.28	530.95	171.28
56	-239.79	-445.32	-102.77	17.13	-154.15	-239.79	-102.77	85.64	222.66	256.91	205.53	239.79	119.89	51.38	616.59	137.02
57	-222.66	-239.79	-85.64	-17.13	-137.02	0	119.89	205.53	137.02	205.53	239.79	308.3	0	0	582.34	34.26
58	-205.53	-137.02	17.13	17.13	-102.77	85.64	205.53	274.04	137.02	188.4	256.91	376.81	0	0	496.7	17.13
59	-85.64	0	205.53	154.15	34.26	376.81	479.57	428.19	205.53	274.04	393.93	530.95	51.38	17.13	393.93	34.26
60	0	0	256.91	171.28	119.89	513.83	616.59	496.7	239.79	325.42	445.32	599.46	119.89	34.26	342.55	51.38
61	68.51	137.02	274.04	171.28	119.89	736.48	787.87	548.08	154.15	359.68	513.83	599.46	154.15	34.26	154.15	137.02
62	68.51	239.79	239.79	154.15	51.38	770.74	770.74	530.95	85.64	325.42	513.83	548.08	154.15	34.26	85.64	239.79
63	34.26	376.81	239.79	171.28	-17.13	719.36	599.46	496.7	119.89	393.93	548.08	633.72	291.17	239.79	188.4	599.46
64	0	359.68	274.04	188.4	-17.13	650.85	548.08	530.95	188.4	479.57	633.72	736.48	428.19	393.93	359.68	804.99
65	0	205.53	239.79	119.89	0	616.59	839.25	667.97	274.04	667.97	890.63	1096.16	890.63	804.99	890.63	1267.44
66	0	256.91	188.4	85.64	51.38	667.97	924.89	702.23	205.53	736.48	959.14	1147.54	993.4	873.5	1010.52	1353.07
67	119.89	445.32	119.89	34.26	188.4	770.74	907.76	667.97	171.28	839.25	1027.65	1216.05	1096.16	924.89	1250.31	1370.2
68	154.15	513.83	137.02	68.51	188.4	787.87	856.38	685.1	188.4	873.5	1027.65	1198.93	1044.78	890.63	1318.82	1284.56
69	154.15	428.19	188.4	137.02	34.26	633.72	736.48	616.59	205.53	787.87	890.63	976.27	804.99	633.72	1147.54	907.76
70	137.02	359.68	239.79	154.15	-34.26	548.08	667.97	565.21	188.4	685.1	787.87	787.87	599.46	445.32	976.27	685.1
71	154.15	239.79	137.02	119.89	34.26	393.93	359.68	256.91	51.38	479.57	513.83	274.04	137.02	154.15	633.72	376.81
72	154.15	256.91	85.64	68.51	137.02	359.68	171.28	68.51	68.51	359.68	376.81	34.26	0	85.64	462.44	308.3
73	137.02	376.81	17.13	17.13	188.4	274.04	-34.26	-102.77	154.15	137.02	137.02	-222.66	-137.02	68.51	102.77	188.4
74	119.89	445.32	0	0	154.15	239.79	-85.64	-119.89	205.53	34.26	85.64	-256.91	-137.02	68.51	-17.13	102.77
75	137.02	530.95	154.15	188.4	68.51	376.81	85.64	68.51	274.04	68.51	137.02	-102.77	17.13	68.51	0	102.77
76	188.4	565.21	291.17	308.3	85.64	479.57	205.53	222.66	256.91	154.15	188.4	0	85.64	119.89	137.02	222.66
77	239.79	599.46	445.32	428.19	154.15	565.21	291.17	445.32	308.3	188.4	205.53	137.02	308.3	137.02	308.3	479.57
78	205.53	565.21	428.19	428.19	154.15	530.95	325.42	513.83	359.68	85.64	171.28	274.04	376.81	119.89	256.91	548.08
79	119.89	513.83	393.93	359.68	137.02	462.44	445.32	633.72	428.19	34.26	205.53	599.46	530.95	119.89	119.89	496.7
80	119.89	565.21	411.06	325.42	137.02	513.83	616.59	667.97	445.32	119.89	291.17	804.99	599.46	171.28	102.77	445.32
81	274.04	565.21	291.17	256.91	308.3	856.38	804.99	685.1	325.42	445.32	616.59	1010.52	719.36	445.32	393.93	274.04
82	274.04	479.57	205.53	171.28	342.55	804.99	685.1	633.72	291.17	479.57	599.46	890.63	685.1	513.83	479.57	256.91
83	154.15	274.04	0	0	154.15	428.19	342.55	342.55	119.89	308.3	325.42	530.95	462.44	479.57	393.93	256.91
84	85.64	256.91	0	-17.13	17.13	188.4	137.02	188.4	85.64	171.28	171.28	325.42	325.42	376.81	256.91	256.91
85	34.26	188.4	34.26	51.38	-51.38	-137.02	-137.02	-102.77	-17.13	-17.13	-85.64	-85.64	-17.13	119.89	0	102.77
86	34.26	188.4	85.64	85.64	-51.38	-222.66	-222.66	-256.91	0	-119.89	-222.66	-308.3	-205.53	-34.26	-68.51	-51.38
87	-17.13	119.89	68.51	51.38	-102.77	-376.81	-359.68	-462.44	-137.02	-239.79	-376.81	-702.23	-616.59	-376.81	-171.28	-496.7
88	-17.13	85.64	0	-34.26	-171.28	-445.32	-445.32	-565.21	-222.66	-256.91	-411.06	-839.25	-736.48	-479.57	-205.53	-685.1
89	-85.64	17.13	-137.02	-102.77	-274.04	-462.44	-582.34	-582.34	-222.66	-274.04	-445.32	-890.63	-616.59	-393.93	-222.66	-753.61
90	-119.89	-102.77	-256.91	-171.28	-256.91	-479.57	-702.23	-496.7	-171.28	-274.04	-445.32	-822.12	-462.44	-291.17	-256.91	-685.1
91	-239.79	-256.91	-325.42	-188.4	-274.04	-513.83	-702.23	-222.66	0	-359.68	-513.83	-616.59	-51.38	-85.64	-393.93	-530.95
92	-325.42	-325.42	-325.42	-205.53	-342.55	-599.46	-650.85	-119.89	0	-376.81	-530.95	-462.44	119.89	0	-462.44	-462.44
93	-376.81	-445.32	-325.42	-239.79	-376.81	-685.1	-496.7	-34.26	-17.13	-342.55	-411.06	-51.38	530.95	239.79	-411.06	-239.79
94	-359.68	-496.7	-376.81	-274.04	-291.17	-616.59	-393.93	-34.26	-119.89	-222.66	-256.91	137.02	667.97	359.68	-291.17	-85.64
95	-274.04	-599.46	-530.95	-462.44	-17.13	-274.04	-137.02	-34.26	-376.81	17.13	51.38	445.32	719.36	376.81	0	85.64
96	-239.79	-599.46	-599.46	-565.21	51.38	-137.02	-34.26	-102.77	-513.83	85.64	171.28	479.57	565.21	274.04	119.89	85.64
97	-256.91	-530.95	-736.48	-702.23	17.13	-154.15	-102.77	-393.93	-650.85	188.4	256.91	137.02	34.26	-51.38	308.3	-17.13
98	-274.04	-513.83	-770.74	-719.36	0	-256.91	-222.66	-513.83	-650.85	188.4	239.79	0	-51.38	-102.77	359.68	-17.13
99	-256.91	-445.32	-753.61	-719.36	-51.38	-393.93	-359.68	-650.85	-633.72	51.38	68.51	-154.15	-256.91	-154.15	325.42	-17.13
100	-222.66	-376.81	-702.23	-650.85	-51.38	-445.32	-342.55	-685.1	-599.46	-34.26	-34.26	-256.91	-325.42	-154.15	222.66	-34.26
101	-154.15	-274.04	-462.44	-462.44	-34.26	-496.7	-205.53	-616.59	-462.44	-256.91	-256.91	-376.81	-291.17	-85.64	0	0
102	-119.89	-205.53	-342.55	-342.55	51.38	-479.57	-119.89	-565.21	-376.81	-256.91	-274.04	-359.68	-222.66	-34.26	0	119.89
103	-34.26	-85.64	-137.02	-137.02	85.64	-359.68	-34.26	-376.81	-239.79	-171.28	-205.53	-222.66	0	188.4	34.26	496.7
104	-51.38	-34.26	-68.51	-51.38	0	-325.42	34.26	-274.04	-171.28	-205.53	-239.79	-154.15	85.64	256.91	17.13	599.46
105	-222.66	-154.15	17.13	0	-291.17	-513.83	-17.13	-205.53	0	-496.7	-530.95	-137.02	188.4	291.17	-359.68	496.7
106	-342.55	-274.04	-17.13	34.26	-411.06	-650.85	-119.89	-239.79	68.51	-616.59	-650.85	-154.15	205.53	308.3	-530.95	376.81
107	-445.32	-445.32	0	137.02	-342.55	-787.87	-342.55	-256.91	188.4	-565.21	-616.59	-102.77	256.91	308.3	-582.34	274.04
108	-359.68	-393.93	51.38	154.15	-205.53	-719.36	-325.42	-239.79	222.66	-445.32	-496.7	0	274.04	325.42	-513.83	274.04
109	-102.77	-137.02	102.77	205.53	-51.38	-411.06	-119.89	-119.89	137.02	-188.4	-137.02	119.89	274.04	256.91	-291.17	274.04
110	17.13	0	188.4	274.04	-51.38	-171.28	17.13	-51.38	119.89	-85.64	17.13	188.4	239.79	188.4	-102.77	188.4
111	17.13	85.64	239.79	274.04	0	154.15	102.77	17.13	119.89	51.38	188.4	188.4	17.13	0	205.53	0
112	-17.13	17.13	205.53	222.66	34.26	274.04	119.89	17.13	51.38	154.15	256.91	188.4	-102.77	-17.13	411.06	-102.77
113	-222.66	-222.66	-17.13	-51.38	0	154.15	17.13	-119.89	-137.02	205.53	308.3	85.64	-325.42	-205.53	325.42	-119.89
114	-239.79	-291.17	0	-85.64	-17.13	85.64	34.26	-137.02	-171.28	171.28	239.79	34.26	-308.3	-205.53	154.15	-51.38
115	-222.66	-205.53	0	0	-17.13	85.64	188.4	-17.13	-102.77	0	34.26	-68.51	-239.79	-188.4	-188.4	17.13
116	-154.15	-154.15	17.13	-34.26	-34.26	188.4	274.04	17.13	-34.26	-85.64	-68.51	-102.77	-222.66	-171.28	-325.42	17.13
117	-102.77	-137.02	-34.26	-34.26	-17.13	188.4	359.68	68.51	-34.26	-325.42	-376.81	-171.28	-205.53	-154.15	-582.34	-34.26
118	-119.89	-239.79	-68.51	-102.77	-51.38	102.77	308.3	34.26	-34.26	-428.19	-479.57	-188.4	-171.28	-154.15	-702.23	0
119	-137.02	-411.06	-17.13	0	-119.89	-102.77	171.28	34.26	-34.26	-530.95	-599.46	-154.15	-102.77	-222.66	-822.12	-102.77
120	-119.89	-411.06	51.38	68.51	-85.64	-119.89	171.28	119.89	68.51	-513.83	-548.08	-102.77	-34.26	-239.79	-719.36	-154.15
121	0	-154.15	308.3	308.3	0	51.38	325.42	411.06	308.3	-342.55	-325.42	17.13	0	-205.53	-411.06	-239.79
122	17.13	0	359.68	393.93	17.13	205.53	445.32	530.95	359.68	-205.53	-171.28	68.51	0	-154.15	-205.53	-274.04
123	85.64	119.89	376.81	376.81	119.89	393.93	479.57	496.7	239.79	0	34.26	51.38	-102.77	-222.66	0	-462.44
124	137.02	85.64	325.42	308.3	171.28	393.93	359.68	325.42	119.89	68.51	68.51	-17.13	-274.04	-359.68	17.13	-616.59
125	239.79	68.51	291.17	205.53	154.15	274.04	-34.26	-17.13	-34.26	137.02	85.64	-359.68	-685.1	-650.85	17.13	-822.12
126	239.79	68.51	274.04	188.4	85.64	171.28	-119.89	-137.02	-85.64	137.02	119.89	-462.44	-753.61	-702.23	119.89	-770.74
127	102.77	0	205.53	171.28	0	34.26	-222.66	-222.66	-85.64	137.02	205.53	-462.44	-650.85	-496.7	411.06	-411.06
128	-17.13	-34.26	154.15	154.15	0	-34.26	-239.79	-239.79	-85.64	154.15	274.04	-393.93	-513.83	-291.17	530.95	-171.28
129	-85.64	-256.91	-17.13	34.26	68.51	-51.38	-411.06	-291.17	-17.13	171.28	308.3	-137.02	-34.26	85.64	359.68	428.19
130	0	-239.79	-34.26	17.13	119.89	-51.38	-376.81	-256.91	0	188.4	274.04	0	85.64	171.28	239.79	633.72
131	102.77	-154.15	68.51	137.02	51.38	0	-154.15	-51.38	137.02	137.02	171.28	428.19	428.19	308.3	154.15	907.76
132	102.77	-137.02	85.64	188.4	-34.26	-34.26	-34.26	-34.26	171.28	68.51	85.64	616.59	548.08	359.68	137.02	924.89
133	-17.13	-137.02	154.15	205.53	-171.28	-34.26	17.13	-17.13	137.02	-51.38	-34.26	719.36	548.08	325.42	34.26	667.97
134	-17.13	-154.15	102.77	119.89	-154.15	0	34.26	-34.26	85.64	-102.77	-102.77	616.59	445.32	274.04	-17.13	479.57
135	85.64	0	85.64	0	68.51	17.13	171.28	119.89	119.89	-119.89	-154.15	256.91	154.15	51.38	-222.66	68.51
136	222.66	137.02	85.64	0	239.79	119.89	222.66	188.4	119.89	-85.64	-137.02	17.13	0	-34.26	-274.04	-102.77
137	376.81	291.17	137.02	68.51	274.04	274.04	188.4	68.51	34.26	-102.77	-171.28	-411.06	-445.32	-376.81	-393.93	-565.21
138	342.55	274.04	137.02	85.64	137.02	291.17	119.89	0	-17.13	-119.89	-154.15	-633.72	-667.97	-513.83	-411.06	-719.36
139	102.77	137.02	68.51	68.51	-17.13	239.79	17.13	-85.64	0	-51.38	-51.38	-685.1	-804.99	-582.34	-376.81	-685.1
140	0	17.13	68.51	17.13	34.26	188.4	-17.13	-17.13	17.13	0	-34.26	-633.72	-736.48	-479.57	-239.79	-496.7
141	34.26	17.13	0	0	256.91	154.15	17.13	51.38	102.77	17.13	17.13	-479.57	-428.19	-205.53	0	-85.64
142	68.51	0	-34.26	0	256.91	137.02	-34.26	68.51	137.02	-17.13	0	-445.32	-256.91	-51.38	17.13	17.13
143	102.77	68.51	34.26	68.51	51.38	68.51	-51.38	119.89	137.02	-154.15	-188.4	-256.91	51.38	188.4	-171.28	325.42
144	68.51	102.77	85.64	85.64	0	17.13	0	188.4	188.4	-154.15	-205.53	-51.38	325.42	376.81	-222.66	548.08
145	-17.13	0	137.02	119.89	-154.15	-17.13	171.28	479.57	325.42	-51.38	-137.02	513.83	1079.03	907.76	-51.38	1198.93
146	-17.13	-51.38	119.89	137.02	-154.15	-85.64	137.02	428.19	325.42	-85.64	-154.15	582.34	1113.29	924.89	-51.38	1216.05
147	17.13	-102.77	85.64	137.02	-102.77	-291.17	-17.13	205.53	205.53	-154.15	-239.79	411.06	839.25	719.36	-119.89	873.5
148	-17.13	-119.89	17.13	85.64	-102.77	-359.68	-51.38	154.15	119.89	-137.02	-222.66	308.3	616.59	530.95	-85.64	650.85
149	0	-68.51	-51.38	-17.13	-51.38	-376.81	-154.15	17.13	17.13	-17.13	-137.02	85.64	205.53	171.28	68.51	205.53
150	0	0	-154.15	-85.64	-34.26	-325.42	-205.53	17.13	-34.26	0	-154.15	17.13	0	-34.26	137.02	0
151	-17.13	51.38	-205.53	-205.53	-17.13	-137.02	-222.66	-188.4	-137.02	-85.64	-205.53	-308.3	-496.7	-376.81	188.4	-393.93
152	-17.13	85.64	-171.28	-274.04	0	-17.13	-205.53	-256.91	-171.28	-102.77	-205.53	-445.32	-736.48	-565.21	154.15	-582.34
153	-17.13	85.64	-222.66	-274.04	-17.13	171.28	-137.02	-222.66	-171.28	-34.26	-119.89	-530.95	-942.01	-719.36	102.77	-685.1
154	0	85.64	-256.91	-291.17	-17.13	239.79	-68.51	-119.89	-137.02	0	-51.38	-462.44	-839.25	-685.1	51.38	-565.21
155	-17.13	154.15	-291.17	-274.04	0	256.91	17.13	51.38	0	17.13	-17.13	-85.64	-376.81	-342.55	17.13	-171.28
156	-17.13	239.79	-205.53	-239.79	0	239.79	119.89	137.02	17.13	17.13	0	119.89	-85.64	-119.89	51.38	0
157	-17.13	291.17	0	-51.38	-85.64	171.28	291.17	256.91	154.15	0	17.13	411.06	393.93	274.04	171.28	188.4
158	-34.26	239.79	85.64	0	-205.53	119.89	325.42	291.17	188.4	0	17.13	496.7	565.21	411.06	154.15	291.17
159	-85.64	119.89	188.4	137.02	-239.79	0	256.91	325.42	171.28	17.13	17.13	548.08	770.74	565.21	51.38	445.32
160	-85.64	119.89	188.4	137.02	-137.02	-119.89	154.15	291.17	137.02	51.38	17.13	565.21	804.99	599.46	51.38	530.95
161	-137.02	-34.26	-17.13	-102.77	-85.64	-496.7	-342.55	-102.77	-154.15	17.13	-51.38	393.93	565.21	428.19	119.89	393.93
162	-239.79	-171.28	-171.28	-239.79	-239.79	-633.72	-530.95	-325.42	-256.91	-51.38	-205.53	188.4	393.93	325.42	68.51	188.4
163	-462.44	-479.57	-496.7	-479.57	-462.44	-873.5	-822.12	-616.59	-291.17	-274.04	-479.57	-205.53	-34.26	68.51	-119.89	-102.77
164	-479.57	-479.57	-548.08	-530.95	-411.06	-873.5	-839.25	-633.72	-222.66	-342.55	-565.21	-342.55	-171.28	0	-205.53	-205.53
165	-325.42	-239.79	-445.32	-445.32	-205.53	-582.34	-599.46	-445.32	-85.64	-376.81	-599.46	-496.7	-496.7	-239.79	-342.55	-359.68
166	-239.79	-137.02	-308.3	-308.3	-154.15	-325.42	-376.81	-291.17	-34.26	-411.06	-616.59	-530.95	-633.72	-376.81	-393.93	-445.32
167	-171.28	-34.26	-171.28	-171.28	-171.28	0	0	-102.77	-51.38	-496.7	-633.72	-633.72	-736.48	-513.83	-428.19	-582.34
168	-154.15	17.13	-171.28	-154.15	-171.28	68.51	68.51	-34.26	-51.38	-462.44	-616.59	-616.59	-702.23	-496.7	-342.55	-496.7
169	-137.02	68.51	-154.15	-154.15	-137.02	137.02	205.53	17.13	17.13	-325.42	-411.06	-428.19	-445.32	-291.17	-51.38	-137.02
170	-171.28	51.38	-137.02	-102.77	-102.77	137.02	188.4	51.38	17.13	-222.66	-308.3	-342.55	-291.17	-222.66	0	34.26
171	-154.15	-85.64	34.26	68.51	-171.28	51.38	188.4	68.51	68.51	-154.15	-154.15	-188.4	-154.15	-137.02	34.26	291.17
172	-205.53	-154.15	85.64	119.89	-205.53	0	171.28	68.51	85.64	-102.77	-102.77	-85.64	-119.89	-102.77	68.51	308.3
173	-171.28	-137.02	137.02	154.15	-188.4	-102.77	154.15	85.64	119.89	-34.26	-34.26	0	-17.13	0	68.51	308.3
174	-222.66	-102.77	85.64	119.89	-205.53	-154.15	119.89	102.77	119.89	-17.13	0	34.26	34.26	-17.13	34.26	291.17
175	-222.66	-85.64	51.38	102.77	-222.66	-171.28	51.38	119.89	85.64	17.13	-17.13	-51.38	68.51	17.13	-102.77	119.89
176	-205.53	-85.64	119.89	119.89	-154.15	-171.28	51.38	85.64	17.13	0	0	-137.02	34.26	-34.26	-205.53	17.13
177	137.02	171.28	274.04	188.4	274.04	0	34.26	171.28	68.51	274.04	274.04	0	171.28	34.26	-119.89	17.13
178	239.79	291.17	308.3	222.66	342.55	102.77	17.13	239.79	154.15	342.55	376.81	17.13	256.91	68.51	-17.13	-17.13
179	342.55	445.32	342.55	274.04	256.91	325.42	85.64	325.42	274.04	376.81	462.44	0	239.79	85.64	17.13	17.13
180	342.55	513.83	376.81	325.42	239.79	393.93	205.53	376.81	274.04	359.68	428.19	0	171.28	85.64	34.26	-34.26
181	428.19	685.1	496.7	359.68	325.42	685.1	548.08	513.83	274.04	359.68	393.93	34.26	171.28	154.15	85.64	17.13
182	479.57	787.87	530.95	376.81	428.19	839.25	719.36	616.59	291.17	359.68	393.93	119.89	274.04	239.79	51.38	154.15
183	513.83	890.63	548.08	393.93	496.7	993.4	770.74	753.61	325.42	256.91	325.42	239.79	445.32	308.3	0	393.93
184	479.57	890.63	496.7	376.81	428.19	907.76	685.1	736.48	274.04	188.4	274.04	188.4	445.32	291.17	-102.77	411.06
185	342.55	736.48	393.93	359.68	205.53	616.59	548.08	599.46	119.89	154.15	205.53	68.51	376.81	188.4	-205.53	274.04
186	308.3	599.46	393.93	325.42	154.15	479.57	513.83	496.7	68.51	205.53	256.91	34.26	308.3	154.15	-239.79	205.53
187	274.04	325.42	274.04	239.79	154.15	411.06	479.57	291.17	85.64	376.81	376.81	17.13	205.53	119.89	-239.79	119.89
188	239.79	239.79	171.28	137.02	171.28	428.19	376.81	205.53	85.64	376.81	393.93	17.13	154.15	85.64	-239.79	17.13
189	137.02	68.51	-34.26	0	154.15	325.42	85.64	51.38	17.13	205.53	291.17	0	34.26	85.64	-291.17	-171.28
190	68.51	0	-119.89	-34.26	85.64	205.53	-34.26	-34.26	0	137.02	205.53	-17.13	17.13	119.89	-291.17	-274.04
191	-17.13	-154.15	-171.28	-51.38	0	-34.26	-102.77	-34.26	0	34.26	51.38	-34.26	17.13	119.89	-274.04	-359.68
192	-34.26	-274.04	-188.4	-102.77	-34.26	-51.38	-102.77	-34.26	0	0	0	-85.64	0	68.51	-274.04	-393.93
193	-119.89	-582.34	-445.32	-393.93	17.13	-154.15	-205.53	-171.28	-222.66	-102.77	-119.89	-342.55	-274.04	-171.28	-308.3	-753.61
194	-102.77	-616.59	-496.7	-428.19	51.38	-205.53	-291.17	-274.04	-325.42	-119.89	-137.02	-376.81	-376.81	-274.04	-308.3	-839.25
